year,doi,title,f_author,id
2016,,An Ontology-Driven Approach for Semantic Annotation of Documents with Speciﬁc Concepts,C eline Alec,86
2016,,Qanary – A Methodology for Vocabulary-Driven Open Question Answering Systems,Andreas Both,87
2016,,Test-Driven Development of Ontologies,C. Maria Keet,88
2016,,"From Queriability to Informativity, Assessing “Quality in Use” of DBpedia and YAGO",Tong Ruan,89
2016,,Semantically Enhanced Quality Assurance in the JURION Business Use Case,Dimitris Kontokostas,90
2016,,Adaptive Linked Data-Driven Web Components: Building Flexible and Reusable Semantic Web Interfaces,Ali Khalili,91
2016,,Building the Seshat Ontology for a Global History Databank,Rob Brennan,92
2016,,RMLEditor: A Graph-Based Mapping Editor for Linked Data Mappings,Pieter Heyvaert,93
2016,,Enriching a Small Artwork Collection Through Semantic Linking,Mauro Dragoni,94
2016,,Ontology-Based Data Access for Maritime Security,Stefan Br uggemann,95
2016,,WarSampo Data Service and Semantic Portal for Publishing Linked Open Data About the Second World War History,Eero Hyv onen,96
2016,,Predicting Drug-Drug Interactions Through Large-Scale Similarity-Based Link Prediction,Achille Fokoue,97
2016,,Semantics Driven Human-Machine Computation Framework for Linked Islamic Knowledge Engineering,Amna Basharat,98
2016,,Towards Scalable Federated Context-Aware Stream Reasoning,Alexander Dejonghe,99
2016,,Normalized Semantic Web Distance,Tom De Nies,100
2016,,Machine-Crowd Annotation Workﬂow for Event Understanding Across Collections and Domains,Oana Inel,101
2016,,Distributed Context-Aware Applications by Means of Web of Things and Semantic Web Technologies,Nicole Merkle,102
2016,,On Learnability of Constraints from RDF Data,Emir Mu noz,103
2016,,A Knowledge-Based Framework for Events Representation and Reuse from Historical Archives,Marco Rovera,104
2016,,Unsupervised Conceptualization and Semantic Text Indexing for Information Extraction,Eugen Ruppert,105
2016,,Continuously Self-Updating Query Results over Dynamic Heterogeneous Linked Data,Ruben Taelman,106
2016,,Exploiting Disagreement Through Open-Ended Tasks for Capturing Interpretation Spaces,Benjamin Timmermans,107
2016,,A Semantic Approach for Process Annotation and Similarity Analysis,Tobias Weller,108
2016,,Gleaning Types for Literals in RDF Triples with Application to Entity Summarization,Kalpa Gunaratna,109
2016,,TermPicker : Enabling the Reuse of Vocabulary Terms by Exploiting Data from the Linked Open Data Cloud,Johann Schaible,110
2016,,Implicit Entity Linking in Tweets,Sujan Perera,111
2016,,Fast Approximate A-Box Consistency Checking Using Machine Learning,Heiko Paulheim,112
2017,,Traﬃc Analytics for Linked Data Publishers,Luca Costabello,113
2017,,Online Relation Alignment for Linked Datasets,Maria Koutraki,114
2017,,Tuning Personalized PageRank for Semantics-Aware Recommendations Based on Linked Open Data,Cataldo Musto,115
2017,,Terminological Cluster Trees for Disjointness Axiom Discovery,Giuseppe Rizzo,116
2017,,Embedding Learning for Declarative Memories,Volker Tresp,117
2017,,Spatial Ontology-Mediated Query Answering over Mobility Streams,Thomas Eiter,118
2017,,Optimizing the Performance of Concurrent RDF Stream Processing Queries,Chan Le Van,119
2017,,AGACY Monitoring: A Hybrid Model for Activity Recognition and Uncertainty Handling,Hela Sfar,120
2017,,Mapping Natural Language to Description Logic,Bikash Gyawali,121
2017,,Harnessing Diversity in Crowds and Machines for Better NER Performance,Oana Inel,122
2017,,All that Glitters Is Not Gold – Rule-Based Curation of Reference Datasets for Named Entity Recognition and Entity Linking,Kunal Jha,123
2017,,Explaining Graph Navigational Queries,Valeria Fionda,124
2017,,Semantic Annotation of Data Processing Pipelines in Scientiﬁc Publications,Sepideh Mesbah,125
2017,,Combining Word and Entity Embeddings for Entity Linking,Jose G. Moreno,126
2017,,Beyond Time: Dynamic Context-Aware Entity Recommendation,Nam Khanh Tran,127
2017,,Patterns for Heterogeneous TBox Mappings to Bridge Diﬀerent Modelling Decisions,Pablo Rub en Fillottrani,128
2017,,Exploring Importance Measures for Summarizing RDF/S KBs,Alexandros Pappas,129
2017,,Data-Driven Joint Debugging of the DBpedia Mappings and Ontology,Towards Addressing the Causes Instead of the Symptoms,130
2017,,Rule-Based OWL Modeling with ROWLTab Prot´eg´e Plugin,Md. Kamruzzaman Sarker,131
2017,,Chaudron: Extending DBpedia with Measurement,Julien Subercaze,132
2017,,SM4MQ: A Semantic Model for Multidimensional Queries,Jovan Varga,133
2017,,Using Insights from Psychology and Language to Improve How People Reason with Description Logics,Paul Warren,134
2017,,A SPARQL Extension for Generating RDF from Heterogeneous Formats,Maxime Lefran cois,135
2017,,Updating Wikipedia via DBpedia Mappings and SPARQL,Albin Ahmeti,136
2017,,Learning Commonalities in RDF,Sara El Hassad,137
2017,,Lean Kernels in Description Logics,Rafael Pe naloza,138
2017,,Linked Data Notiﬁcations: A Resource-Centric Communication Protocol,Sarven Capadisli,139
2017,,Crowdsourced Aﬃnity: A Matter of Fact or Experience,Chun Lu,140
2017,,A Semantic Graph-Based Approach for Radicalisation Detection on Social Media,Hassan Saif,141
2017,,Modeling and Querying Greek Legislation Using Semantic Web Technologies,Ilias Chalkidis,142
2017,,Self-Enforcing Access Control for Encrypted RDF,Javier D. Fern,143
2017,,Removing Barriers to Transparency: A Case Study on the Use of Semantic Technologies to Tackle Procurement Data Inconsistency,Giuseppe Futia,144
2017,,NdFluents: An Ontology for Annotated Statements with Inference Preservation,Jos e M. Gim enez-Garc a,145
2017,,Exploiting Source-Object Networks to Resolve Object Conﬂicts in Linked Data,Wenqiang Liu,146
2017,,Adopting Semantic Technologies for Eﬀective Corporate Transparency,Maria Mora-Rodriguez,147
2017,,Methods for Intrinsic Evaluation of Links in the Web of Data,Cristina Sarasua,148
2017,,Entity Deduplication on ScholarlyData,Ziqi Zhang,149
2017,,W – A Generalization Approach for Automatic Link Discovery,overy,150
2017,,Actively Learning to Rank Semantic Associations for Personalized Contextual Exploration of Knowledge Graphs,Federico Bianchi,151
2017,,Synthesizing Knowledge Graphs for Link and Type Prediction Benchmarking,Andr e Melo,152
2017,,Applying Semantic Web Technologies to Assess Maintenance Tasks from Operational Interruptions: A Use-Case at Airbus,Ghislain Auguste Atemezing,153
2017,,ArmaTweet : Detecting Events by Semantic Tweet Analysis,Alberto Tonon,154
2017,,smartAPI: Towards a More Intelligent Network of Web APIs,Amrapali Zaveri,155
2017,,Automating the Dynamic Interactions of Self-governed Components in Distributed Architectures,Sebastian R. Bader,156
2017,,Building and Processing a Knowledge-Graph for Legal Data,Erwin Filtz,157
2017,,Ontology Matching Algorithms for Data Model Alignment in Big Data,Ruth Achiaa Frimpong,158
2017,,"Ontology-Based Data Access Mapping Generation Using Data, Schema, Query, and Mapping Knowledge",Pieter Heyvaert,159
2017,,Engaging Librarians in the Process of Interlinking RDF Resources,Lucy McKenna,160
2017,,A Knowledge-Based Framework for Improving Accessibility of Web Sites,Jens Pelzetter,161
2017,,Iterative Approach for Information Extraction and Ontology Learning from Textual Aviation Safety Reports,Lama Saeeda,162
2017,,Integrative Data Management for Reproducibility of Microscopy Experiments,Sheeba Samuel,163
2017,,Modeling Company Risk and Importance in Supply Graphs,Lucas Carstens,164
2017,,Towards an Open Extensible Framework for Empirical Benchmarking of Data Management Solutions: LITMUS,Harsh Thakkar,165
2017,,Enhancing White-Box Machine Learning Processes by Incorporating Semantic Background Knowledge,Gilles Vandewiele,166
2017,,Declarative Data Transformations for Linked Data Generation: The Case of DBpedia,Ben De Meester,167
2017,,BalOnSe: Temporal Aspects of Dance Movement and Its Ontological Representation,Katerina El Raheb,168
2017,,Reasoning on Engineering Knowledge: Applications and Desired Features,Constantin Hildebrandt,169
2017,,"A Compressed, Inference-Enabled Encoding Scheme for RDF Stream Processing",J er emy Lhez,170
2017,,From Data to City Indicators: A Knowledge Graph for Supporting Automatic Generation of Dashboards,Henrique Santos,171
2017,,Ontology-Driven Uniﬁed Governance in Software Engineering: The PoolParty Case Study,Monika Solanki,172
2017,,A Hypercat-Enabled Semantic Internet of Things Data Hub,Ilias Tachmazidis,173
2018,10.1007/978-3-319-93417-4_1,Analyzing the Evolution of Vocabulary Terms and Their Impact on the LOD Cloud,Mohammad Abdel-Qader ,174
2018,10.1007/978-3-319-93417-4_10,PageRank and Generic Entity Summarization for RDF Knowledge Bases,Dennis Diefenbach ,175
2018,10.1007/978-3-319-93417-4_11,Answering Multiple-Choice Questions in Geographical Gaokao with a Concept Graph,Jiwei Ding ,176
2018,10.1007/978-3-319-93417-4_12,TweetsKB: A Public and Large-Scale RDF Corpus of Annotated Tweets,Pavlos Fafalios ,177
2018,10.1007/978-3-319-93417-4_13,HDTQ: Managing RDF Datasets in Compressed Space,Javier D. Fernández ,178
2018,10.1007/978-3-319-93417-4_14,Answers Partitioning and Lazy Joins for Efficient Query Relaxation and Application to Similarity Search,Sébastien Ferré ,179
2018,10.1007/978-3-319-93417-4_15,Evaluation of Schema.org for Aggregation of Cultural Heritage Metadata,Nuno Freire ,180
2018,10.1007/978-3-319-93417-4_16,Dynamic Planning for Link Discovery,Kleanthi Georgala ,181
2018,10.1007/978-3-319-93417-4_17,A Dataset for Web-Scale Knowledge Base Population,Michael Glass ,182
2018,10.1007/978-3-319-93417-4_18,EventKG: A Multilingual Event-Centric Temporal Knowledge Graph,Simon Gottschalk ,183
2018,10.1007/978-3-319-93417-4_19,Semantic Concept Discovery over Event Databases,Oktie Hassanzadeh ,184
2018,10.1007/978-3-319-93417-4_2,GSP (Geo-Semantic-Parsing): Geoparsing and Geotagging with Machine Learning on Top of Linked Data,Marco Avvenuti ,185
2018,10.1007/978-3-319-93417-4_20,Smart Papers: Dynamic Publications on the Blockchain,Michał R. Hoffman ,186
2018,10.1007/978-3-319-93417-4_21,Mind the (Language) Gap: Generation of Multilingual Wikipedia Summaries from Wikidata for ArticlePlaceholders,Lucie-Aimée Kaffee ,187
2018,10.1007/978-3-319-93417-4_22,What Does an Ontology Engineering Community Look Like? A Systematic Analysis of the schema.org Community,Samantha Kanza ,188
2018,10.1007/978-3-319-93417-4_23,FERASAT: A Serendipity-Fostering Faceted Browser for Linked Data,Ali Khalili ,189
2018,10.1007/978-3-319-93417-4_24,Classifying Crises-Information Relevancy with Semantics,Prashant Khare ,190
2018,10.1007/978-3-319-93417-4_25,Efficient Temporal Reasoning on Streams of Events with DOTR,Alessandro Margara ,191
2018,10.1007/978-3-319-93417-4_26,Intelligent Clients for Replicated Triple Pattern Fragments,Thomas Minier ,192
2018,10.1007/978-3-319-93417-4_27,Knowledge Guided Attention and Inference for Describing Images Containing Unseen Objects,Aditya Mogadala ,193
2018,10.1007/978-3-319-93417-4_28,Benchmarking of a Novel POS Tagging Based Semantic Similarity Approach for Job Description Similarity Computation,Joydeep Mondal ,194
2018,10.1007/978-3-319-93417-4_29,A Tri-Partite Neural Document Language Model for Semantic Information Retrieval,Gia-Hung Nguyen ,195
2018,10.1007/978-3-319-93417-4_3,LDP-DL: A Language to Define the Design of Linked Data Platforms,Noorani Bakerally ,196
2018,10.1007/978-3-319-93417-4_30,Multiple Models for Recommending Temporal Aspects of Entities,Tu Ngoc Nguyen ,197
2018,10.1007/978-3-319-93417-4_31,GDPRtEXT - GDPR as a Linked Data Resource,Harshvardhan J. Pandit ,198
2018,10.1007/978-3-319-93417-4_32,Transfer Learning for Item Recommendations and Knowledge Graph Completion in Item Related Domains via a Co-Factorization Model,Guangyuan Piao ,199
2018,10.1007/978-3-319-93417-4_33,Modeling and Summarizing News Events Using Semantic Triples,Radityo Eko Prasojo ,200
2018,10.1007/978-3-319-93417-4_34,GNIS-LD: Serving and Visualizing the Geographic Names Information System Gazetteer as Linked Data,Blake Regalia ,201
2018,10.1007/978-3-319-93417-4_35,Event-Enhanced Learning for KG Completion,Martin Ringsquandl ,202
2018,10.1007/978-3-319-93417-4_36,Exploring Enterprise Knowledge Graphs: A Use Case in Software Engineering,Marta Sabou ,203
2018,10.1007/978-3-319-93417-4_37,Using Link Features for Entity Clustering in Knowledge Graphs,Alieh Saeedi ,204
2018,10.1007/978-3-319-93417-4_38,Modeling Relational Data with Graph Convolutional Networks,Michael Schlichtkrull ,205
2018,10.1007/978-3-319-93417-4_39,Ontology-Driven Sentiment Analysis of Product and Service Aspects,Kim Schouten ,206
2018,10.1007/978-3-319-93417-4_4,Empirical Analysis of Ranking Models for an Adaptable Dataset Search,Angelo B. Neves ,207
2018,10.1007/978-3-319-93417-4_40,Frankenstein: A Platform Enabling Reuse of Question Answering Components,Kuldeep Singh ,208
2018,10.1007/978-3-319-93417-4_41,Querying APIs with SPARQL: Language and Worst-Case Optimal Algorithms,Matthieu Mosser ,209
2018,10.1007/978-3-319-93417-4_42,Task-Oriented Complex Ontology Alignment: Two Alignment Evaluation Sets,Élodie Thiéblin ,210
2018,10.1007/978-3-319-93417-4_43,Where is My URI?,Andre Valdestilhas ,211
2018,10.1007/978-3-319-93417-4_44,Optimizing Semantic Reasoning on Memory-Constrained Platforms Using the RETE Algorithm,William Van Woensel,212
2018,10.1007/978-3-319-93417-4_45,Efficient Ontology-Based Data Integration with Canonical IRIs,Guohui Xiao ,213
2018,10.1007/978-3-319-93417-4_46,Formal Query Generation for Question Answering over Knowledge Bases,Hamid Zafar ,214
2018,10.1007/978-3-319-93417-4_47,A LOD Backend Infrastructure for Scientific Search Portals,Benjamin Zapilko ,215
2018,10.1007/978-3-319-93417-4_48,Detecting Hate Speech on Twitter Using a Convolution-GRU Based Deep Neural Network,Ziqi Zhang ,216
2018,10.1007/978-3-319-93417-4_5,sameAs.cc: The Closure of 500M owl:sameAs Statements,Wouter Beek ,217
2018,10.1007/978-3-319-93417-4_6,Modeling and Preserving Greek Government Decisions Using Semantic Web Technologies and Permissionless Blockchains,Themis Beris ,218
2018,10.1007/978-3-319-93417-4_7,Towards a Binary Object Notation for RDF,Victor Charpenay ,219
2018,10.1007/978-3-319-93417-4_8,User-Centric Ontology Population,Kenneth Clarkson ,220
2018,10.1007/978-3-319-93417-4_9,Using Ontology-Based Data Summarization to Develop Semantics-Aware Recommender Systems,Tommaso Di Noia ,221
2019,10.1007/978-3-030-21348-0_1,A Decentralized Architecture for Sharing and Querying Semantic Data,Christian Aebeloe ,222
2019,10.1007/978-3-030-21348-0_10,Aligning Biomedical Metadata with Ontologies Using Clustering and Embeddings,Rafael S. Gonçalves ,223
2019,10.1007/978-3-030-21348-0_11,Generating Semantic Aspects for Queries,Dhruv Gupta ,224
2019,10.1007/978-3-030-21348-0_12,A Recommender System for Complex Real-World Applications with Nonlinear Dependencies and Knowledge Graph Context,Marcel Hildebrandt ,225
2019,10.1007/978-3-030-21348-0_13,Learning URI Selection Criteria to Improve the Crawling of Linked Open Data,Hai Huang ,226
2019,10.1007/978-3-030-21348-0_14,Deontic Reasoning for Legal Ontologies,Cheikh Kacfah Emani ,227
2019,10.1007/978-3-030-21348-0_15,Incorporating Joint Embeddings into Goal-Oriented Dialogues with Multi-task Learning,Firas Kassawat ,228
2019,10.1007/978-3-030-21348-0_16,Link Prediction Using Multi Part Embeddings,Sameh K. Mohamed ,229
2019,10.1007/978-3-030-21348-0_17,Modelling the Compatibility of Licenses,Benjamin Moreau ,230
2019,10.1007/978-3-030-21348-0_18,GConsent - A Consent Ontology Based on the GDPR,Harshvardhan J. Pandit ,231
2019,10.1007/978-3-030-21348-0_19,Latent Relational Model for Relation Extraction,Gaetano Rossiello ,232
2019,10.1007/978-3-030-21348-0_2,Reformulation-Based Query Answering for RDF Graphs with RDFS Ontologies,Maxime Buron ,233
2019,10.1007/978-3-030-21348-0_20,Mini-ME Swift: The First Mobile OWL Reasoner for iOS,Michele Ruta ,234
2019,10.1007/978-3-030-21348-0_21,Validation of SHACL Constraints over KGs with OWL 2 QL Ontologies via Rewriting,Ognjen Savković ,235
2019,10.1007/978-3-030-21348-0_22,An Ontology-Based Interactive System for Understanding User Queries,Giorgos Stoilos ,236
2019,10.1007/978-3-030-21348-0_23,Knowledge-Based Short Text Categorization Using Entity and Category Embedding,Rima Türker ,237
2019,10.1007/978-3-030-21348-0_24,A Hybrid Approach for Aspect-Based Sentiment Analysis Using a Lexicalized Domain Ontology and Attentional Neural Models,Olaf Wallaart ,238
2019,10.1007/978-3-030-21348-0_25,Predicting Entity Mentions in Scientific Literature,Yalung Zheng ,239
2019,10.1007/978-3-030-21348-0_26,AYNEC: All You Need for Evaluating Completion Techniques in Knowledge Graphs,Daniel Ayala ,240
2019,10.1007/978-3-030-21348-0_27,RVO - The Research Variable Ontology,Madhushi Bandara ,241
2019,10.1007/978-3-030-21348-0_28,EVENTSKG: A 5-Star Dataset of Top-Ranked Events in Eight Computer Science Communities,Said Fathalla ,242
2019,10.1007/978-3-030-21348-0_29,CORAL: A Corpus of Ontological Requirements Annotated with Lexico-Syntactic Patterns,Alba Fernández-Izquierdo ,243
2019,10.1007/978-3-030-21348-0_3,A Hybrid Graph Model for Distant Supervision Relation Extraction,Shangfu Duan ,244
2019,10.1007/978-3-030-21348-0_30,MMKG: Multi-modal Knowledge Graphs,Ye Liu ,245
2019,10.1007/978-3-030-21348-0_31,BeSEPPI: Semantic-Based Benchmarking of Property Path Implementations,Adrian Skubella ,246
2019,10.1007/978-3-030-21348-0_32,QED: Out-of-the-Box Datasets for SPARQL Query Evaluation,Veronika Thost ,247
2019,10.1007/978-3-030-21348-0_33,ToCo: An Ontology for Representing Hybrid Telecommunication Networks,Qianru Zhou ,248
2019,10.1007/978-3-030-21348-0_34,A Software Framework and Datasets for the Analysis of Graph Measures on RDF Graphs,Matthäus Zloch ,249
2019,10.1007/978-3-030-21348-0_35,The Location Index: A Semantic Web Spatial Data Infrastructure,Nicholas J. Car ,250
2019,10.1007/978-3-030-21348-0_36,Legislative Document Content Extraction Based on Semantic Web Technologies,Francisco Cifuentes-Silva ,251
2019,10.1007/978-3-030-21348-0_37,BiographySampo – Publishing and Enriching Biographies on the Semantic Web for Digital Humanities Research,Eero Hyvönen ,252
2019,10.1007/978-3-030-21348-0_38,Tinderbook: Fall in Love with Culture,Enrico Palumbo ,253
2019,10.1007/978-3-030-21348-0_39,Using Shape Expressions (ShEx) to Share RDF Data Models and to Guide Curation with Rigorous Validation,Katherine Thornton ,254
2019,10.1007/978-3-030-21348-0_4,Retrieving Textual Evidence for Knowledge Graph Facts,Gonenc Ercan ,255
2019,10.1007/978-3-030-21348-0_40,Correction to: Using Shape Expressions (ShEx) to Share RDF Data Models and to Guide Curation with Rigorous Validation,Katherine Thornton ,256
2019,10.1007/978-3-030-21348-0_5,Boosting DL Concept Learners,Nicola Fanizzi ,257
2019,10.1007/978-3-030-21348-0_6,Link Prediction in Knowledge Graphs with Concepts of Nearest Neighbours,Sébastien Ferré ,258
2019,10.1007/978-3-030-21348-0_7,Disclosing Citation Meanings for Augmented Research Retrieval and Exploration,Roger Ferrod ,259
2019,10.1007/978-3-030-21348-0_8,Injecting Domain Knowledge in Electronic Medical Records to Improve Hospitalization Prediction,Raphaël Gazzotti ,260
2019,10.1007/978-3-030-21348-0_9,Explore and Exploit. Dictionary Expansion with Human-in-the-Loop,Anna Lisa Gentile ,261
2020,10.1007/978-3-030-49461-2_1,Handling Impossible Derivations During Stream Reasoning,Hamid R. Bazoobandi ,262
2020,10.1007/978-3-030-49461-2_10,Estimating Characteristic Sets for RDF Dataset Profiles Based on Sampling,Lars Heling ,263
2020,10.1007/978-3-030-49461-2_11,SchemaTree: Maximum-Likelihood Property Recommendation for Wikidata,Lars C. Gleim ,264
2020,10.1007/978-3-030-49461-2_12,Hyperbolic Knowledge Graph Embeddings for Knowledge Base Completion,Prodromos Kolyvakis ,265
2020,10.1007/978-3-030-49461-2_13,Unsupervised Bootstrapping of Active Learning for Entity Resolution,Anna Primpeli ,266
2020,10.1007/978-3-030-49461-2_14,Processing SPARQL Aggregate Queries with Web Preemption,Arnaud Grall ,267
2020,10.1007/978-3-030-49461-2_15,Embedding-Based Recommendations on Scholarly Knowledge Graphs,Mojtaba Nayyeri ,268
2020,10.1007/978-3-030-49461-2_16,Investigating Software Usage in the Social Sciences: A Knowledge Graph Approach,David Schindler ,269
2020,10.1007/978-3-030-49461-2_17,Fostering Scientific Meta-analyses with Knowledge Graphs: A Case-Study,Ilaria Tiddi ,270
2020,10.1007/978-3-030-49461-2_18,SAShA: Semantic-Aware Shilling Attacks on Recommender Systems Exploiting Knowledge Graphs,Vito Walter Anelli ,271
